node,x,y
"Cavalluzzo, Linda C.",69.232,187.24
"Caves, Richard E.",-39.86,67.989
"Cecchetti, Stephen G.",91.185,134.77
"Chakrabarti, Rajesh",-161.99,-7.0059
"Chalmers, John M.R.",-16.582,-101.98
"Chalmers, Keryn G.",-385.02,-352.93
"Chamberlain, Gary E.",-36.849,76.977
"Chamberlain, Sandra L.",106.23,-148.98
"Chambers, Marcus J.",897.93,785.77
"Champ, Bruce",37.008,194.3
"Chan, Kalok",-102.22,-82.062
"Chan, Kam C.",48.193,-122.77
"Chan, Louis Kuo Chi",-25.216,-130.11
"Chan, Suhan",150.73,-205.24
"Chan, Yukshee",149.64,119.74
"Chance, Don M.",-109.58,-133.55
"Chang, Carolyn W.",171.66,-91.536
"Chang, Chun",74.555,60.228
"Chang, Cyril F.",-292.5,-229.7
"Chang, Eric C.",-137.82,-106.67
"Chang, Fwuranq",247.38,166.26
"Chang, Ganlin",-168.67,124.06
"Chang, Jack Sk",166.46,-107.48
"Chang, Roberto",169.36,246.14
"Chang, Saeyoung",-34.184,73.552
"Chang, Yuanchen",-358.02,147.21
"Chaplinsky, Susan",77.223,-108.04
"Chapman, David A.",-90.269,-104.98
"Charemza, Wojciech W.",-115.33,-598.07
"Chari, Varadarajan V.",74.34,67.566
"Charupat, Narat",-208.28,45.468
"Chatterjea, Arkadev",137.91,-61.017
"Chaudhry, Mukesh K.",-94.105,721.85
"Chaudhury, Mohammed M.",66.107,-285.89
"Chay, Jong Bom",-138.35,-167.25
"Chemla, Gilles",-111.59,104.92
"Chemmanur, Thomas J.",-14.887,-5.5273
"Chen, Andrew H.Y.",-60.38,-216.72
"Chen, Baizhu",-165.59,-151.02
"Chen, Hsuanchi",19.19,-62.814
"Chen, NaiFu",-198.01,-152.69
"Chen, Sheng-Syan",34.92,-350.95
"Chen, Yehning",-44.036,-215.41
"Chen, Zhiwu",-76.714,-4.5597
"Cheng, Joseph W.",-142.86,-87.88
"Cheng, Minder",-156.81,-211.48
"Cheon, Youngsoonsusan",116.25,-232.2
"Chernov, Mikhail",-166.18,9.421
"Cheung, Yin-Wong",-41.794,409.8
"Chevalier, Judith A.",5.1203,-23.825
"Chia, Ngee Choon",427.42,-814.02
"Chiappori, Pierre André",-87.064,212.38
"Chidambaran, Nemmara K.",-229.82,-3.6859
"Chiesa, Gabriella",22.387,173.16
"Chirinko, Robert S.",194.29,109.03
"Cho, In Koo",-12.035,191.65
"Cho, Myeonghyeon",-115.98,-143.36
"Choe, Hyuk",-112.14,-82.942
"Choi, Dosoung",-212.42,-260.01
"Choi, Seungmook",-251.95,-217.72
"Choi, Stephen",224.62,-134.89
"Choi, Woon Gyu",4.1565,195.38
"Choi, Yunjeong",-317.51,-188.38
"Chordia, Tarun",-108.76,-75.694
"Chow, Yingfoon",190.06,-788.2
"Chowdhry, Bhagwan",-96.079,-42.704
"Chriss, Neil A.",-199.96,58.774
"Christensen, Bent Jesper",-135.12,7.7047
"Christensen, Peter Ove",183.26,57.125
"Christiano, Lawrence J.",46.854,215.22
"Christie, Andrew A.",38.309,-168.06
"Christie, William Gary",-40.683,-86.525
"Christie-David, Rohan A.",-122.4,829.68
"Christopherson, Jon A.",-117.94,-99.786
"Chrystal, K. Alec",819.26,-206.21
"Chrétien, Stéphane",170.81,-151.2
"Chu, Kamhon",190.31,609.82
"Chun, Rodney M.",16.141,203.44
"Chung, Heetaik",220.22,-183.37
"Chung, Kee H.",-217.68,-151.64
"Chung, Kim Sau",283.25,51.209
"Chung, Y. Peter",-116.57,-77.293
"Ciccotello, Conrad S.",-214.07,-53.185
"Claessens, Stijn",-39.457,41.603
"Clare, Andrew D.",-244.03,-246.65
"Clark, Truman A.",-24.686,-277.38
"Clarkson, Peter M.",-275.66,-222.21
"Clayton, Matthew J.",105.98,-222.04
"Cleary, Sean W.",-171.64,-83.821
"Cleveland, William P.",-53.795,127.53
"Click, Reid W.",167.8,6.8171
"Cliff, Michael T.",151.93,-181.39
"Clouse, James A.",268.89,-25.009
"Coase, Ronald H.",-60.843,361.09
"Cochrane, John H.",-90.391,-33.59
"Cockburn, John",62.531,-289.49
"Cole, Rebel A.",56.827,4.6695
"Coles, Jeffrey L.",-27.449,-112.07
"Collins, Daniel W.",118.13,-174.68
"Collins, Michael Cary",942.16,289.64
"Collins, Sean",361.04,-70.496
"Comment, Robert",-33.85,-152.0
"Conley, Timothy G.",-67.775,136.71
"Connolly, Robert A.",-241.37,-175.36
"Connor, Gregory",-167.56,-6.0477
"Conover, C. Mitchell",-82.9,-386.37
"Conrad, Jennifer S.",-73.83,-94.123
"Conroy, Pat",35.687,-250.99
"Conroy, Robert M.",-168.18,-183.01
"Constantinides, George M.",-137.38,-7.581
"Cont, Rama",-241.32,205.56
"Cook, Douglas O.",61.098,-328.64
"Cooper, Ian A.",-84.573,59.438
"Cooper, Leslie M.",-102.93,-275.52
"Cooper, Michael J.",-29.72,-136.27
"Cooper, Russell W.",206.43,44.106
"Cooperman, Elizabeth S.",-380.2,659.53
"Corbett, Jenny",42.887,114.39
"Cordella, Tito",-57.022,31.298
