node,x,y
"Brophy, David J.",-25.286,144.85
"Brown, Christine Ann D.",51.507,-280.18
"Brown, David T.",52.376,-79.497
"Brown, Gregory W.",19.191,-26.477
"Brown, Keith C.",-17.019,-41.369
"Brown, Lawrence D.",205.24,-69.524
"Brown, Robert L.",233.02,193.53
"Brown, Stephen J.C.",-63.555,28.54
"Brown, William O.",248.74,99.908
"Browning, Martin J.",-206.37,29.094
"Brunello, Giorgio",-146.22,-356.7
"Brunner, Allan D.",-306.43,143.1
"Brunnermeier, Markus K.",-20.517,11.188
"Brunnermeier, Smita B.",90.856,-86.234
"Brunt, Liam",20.207,221.49
"Brusco, Sandro",-143.91,-351.47
"Buch, Claudia M.",-34.159,-176.94
"Buckley, Adrian",216.21,-28.583
"Buijink, Willem F.J.",223.49,-104.71
"Bulan, Laarni T.",-162.66,-116.7
"Bullard, James B.",-334.05,-157.62
"Bulow, Jeremy I.",-74.72,184.13
"Bun, Maurice J.G.",-373.71,-11.92
"Buraschi, Andrea",-53.397,79.826
"Burch, Timothy R.",69.041,-43.855
"Burdett, Kenneth",-271.64,-549.16
"Burgstahler, David C.",29.671,175.39
"Burkart, Mike",-30.846,-67.562
"Burns, Natasha",237.14,8.5888
"Burton, M. Diane",140.46,245.77
"Busaba, Walid Y.",199.44,-21.585
"Buser, Stephen A.",41.224,-86.899
"Bushman, Robert M.",199.68,-48.519
"Busse, Jeffrey A.",21.556,78.484
"Butler, Alexander W.",59.515,35.198
"Byard, Donal",170.11,-154.77
"Byoun, Soku",425.43,25.529
"Byrd, John W.",271.73,-65.456
"Byun, Jinho",53.875,145.07
"Bénabou, Roland",-322.14,-128.17
"Bénassy, Jean Pascal",-194.87,-140.5
"Bénassy-Quéré, Agnès",319.35,-82.171
"Bøhren, Øyvind",-73.147,-175.2
"Bühler, Wolfgang J.",-26.171,192.16
CARTER RAKOVSKI,294.74,-50.826
CHANDRA DAS,244.39,-2.7859
CHANDRASEKHAR REDDY GOKHUL,-5.757,186.72
CHANGYONG RHEE,-313.07,-228.98
CHAPPELL LAWSON,-178.41,88.772
CHARLES SIEGMAN,-143.16,-204.24
CHIP FORTSON,-110.39,-5.4712
CHIP RUSCHER,258.05,-158.45
CHIP WIGGINS,296.54,-16.369
CHRIS ALLEN,42.535,104.03
CHRIS CORNWELL,-61.186,-187.27
CHRIS DARNELL,142.17,-154.71
CHRISTOPHER QUICK,-16.046,173.34
CINDY LEE,-111.21,-142.26
CLAUS PARUM,30.909,-146.17
CLEMENT HAR,306.11,-9.8488
CLIFFORD LEE,206.21,-132.29
CLIFTON EXELEY,-202.63,-263.62
CLINT MCCULLY,-363.36,158.91
CONNIE HELFAT,-171.13,106.19
CORDELL WISE,-76.031,-180.3
CORNELIA KULLMANN,41.128,-247.94
CORRINE SELLARS,45.537,284.37
CRAIG WRIGHT,-41.544,-169.31
"Caballero, Ricardo J.",-106.07,-62.571
"Cable, John R.",129.96,-201.86
