node,positions
BARBARA REIDER,"(1100.4, 1271.5)"
BARBARA RINDI,"(835.28, 1087.8)"
BARRY E JONES,"(543.29, 1034.5)"
BARRY EICHENGREEN,"(867.1, 1035.0)"
BARRY ICKES,"(1193.4, 826.42)"
BARRY JOHNSTON,"(904.94, 798.81)"
BARRY SCHOLNICK,"(907.01, 755.82)"
BARRY WILLIAMS,"(1022.1, 889.01)"
BARRY Z CYNAMON,"(635.78, 1061.6)"
BART HAMILTON,"(789.71, 1079.9)"
BART M LAMBRECHT,"(1083.5, 1083.4)"
BARTLEY R DANIELSEN,"(1139.6, 870.95)"
BAS JM WERKER,"(872.95, 1002.3)"
BASIL PETROU,"(1237.9, 836.23)"
BEATRICE BOEHMER,"(905.55, 1087.6)"
BEATRICE WEDER DI MAURO,"(1057.1, 750.38)"
BEATRIX PAAL,"(1260.6, 1005.5)"
BECK A TAYLOR,"(818.89, 880.13)"
BELEN VILLALONGA,"(1021.3, 1018.9)"
BEN AMOAKO-ADU,"(1057.3, 774.13)"
BEN POLAK,"(880.62, 877.72)"
BEN R CRAIG,"(1202.3, 875.26)"
BEN ROSS,"(1132.9, 1063.8)"
BEN S BERNANKE,"(1055.6, 932.76)"
BENEDICTE REYES,"(851.02, 839.53)"
BENGT ASSARSSON,"(711.97, 695.85)"
BENGT HOLMSTROM,"(906.95, 1028.0)"
BENI LAUTERBACH,"(1028.6, 930.02)"
BENJAMIN BENTAL,"(779.17, 824.71)"
BENJAMIN C AYERS,"(812.23, 1174.5)"
BENJAMIN C ESTY,"(899.2, 1167.0)"
BENJAMIN E HERMALIN,"(853.4, 1100.2)"
BENJAMIN M FRIEDMAN,"(1064.7, 810.36)"
BENJAMIN MAURY,"(924.99, 969.57)"
BENN STEIL,"(1108.9, 1134.2)"
BENNETT T MCCALLUM,"(932.64, 749.55)"
BENNY GOODMAN,"(1095.3, 946.77)"
BENNY LEVIKSON,"(795.32, 808.12)"
BENO T ROGER,"(924.51, 913.48)"
BENOIT MOJON,"(994.64, 838.81)"
BENT J CHRISTENSEN,"(1144.3, 1168.0)"
BENT VALE,"(872.4, 901.92)"
BENTLEY MACLEOD,"(1015.4, 1308.2)"
BENTON E GUP,"(759.89, 938.41)"
BERNADETTE A MINTON,"(975.35, 962.99)"
BERNARD DUMAS,"(1004.3, 1067.6)"
BERNARD S BLACK,"(924.08, 1208.2)"
BERNARD YEUNG,"(956.61, 997.22)"
BERNARDO BORTOLOTTI,"(826.53, 946.95)"
BERND ENGELMANN,"(781.57, 919.48)"
BERNT ARNE ODEGAARD,"(769.87, 1001.2)"
BERT CANNELLA,"(1178.7, 1184.3)"
BERT SCHOONBEEK,"(1869.8, 370.0)"
BERTH SMOLUK,"(901.02, 686.09)"
BERTRAND CANDELON,"(1147.6, 1326.4)"
BERTRAND MELENBERG,"(794.73, 1139.3)"
BERTRAND RIME,"(957.94, 748.84)"
BETA MANNIX,"(916.82, 1135.0)"
BETH KISER,"(993.78, 761.61)"
BETTY C DANIEL,"(1271.9, 803.57)"
BEVERLY J HIRTLE,"(1035.5, 919.86)"
BEVERLY R WALTHER,"(1013.4, 1141.2)"
BHAGWAN CHOWDHRY,"(1104.5, 1078.8)"
BHASKARAN SWAMINATHAN,"(991.76, 1079.2)"
BIDISHA CHAKRABARTY,"(846.41, 1241.6)"
BILGE YILMAZ,"(1025.7, 1165.2)"
BILL ATKINSON,"(863.64, 1139.9)"
BILL B FRANCIS,"(724.19, 1099.1)"
BILL CREADY,"(821.41, 1177.3)"
BILL DEWALD,"(965.38, 842.95)"
BILL FREUND,"(786.26, 1009.8)"
BILL HOOD,"(1111.9, 721.95)"
BILL HORACE,"(1409.9, 1208.4)"
BILL JACKSON,"(1083.3, 791.02)"
BILL LATHAM,"(713.48, 1101.5)"
BILL MCDONALD,"(871.85, 1172.8)"
BILL MCKELVEY,"(1215.1, 1040.5)"
BILL WELD,"(919.51, 1197.2)"
BIN GAO,"(1113.6, 1154.4)"
BIN KE,"(837.96, 1129.7)"
BING HAN,"(1018.7, 1131.0)"
BING LIANG,"(1097.3, 1062.0)"
BIRGIT UHLENBROCK,"(1190.3, 730.92)"
BJOERN CHRISTENSEN,"(1069.0, 795.29)"
BJORN ERAKER,"(1093.0, 1113.3)"
BJORN N JORGENSEN,"(912.24, 970.48)"
BLAKE LEBARON,"(1054.0, 1262.4)"
BO HONORE,"(841.33, 1329.6)"
BOAZ MOSELLE,"(773.96, 810.71)"
BOB LEONE,"(867.4, 1030.6)"
BOB LITTERMAN,"(1206.1, 1134.1)"
BOB TAGGART,"(1165.4, 1086.6)"
BOB TREZEVANT,"(934.32, 1318.5)"
BOB VIGELAND,"(1108.6, 1340.7)"
BOB YUSKAVAGE,"(986.47, 848.21)"
BONG SOO LEE,"(1582.6, 664.1)"
BONG-CHAN KHO,"(933.15, 1064.4)"
BONNIE CLARK MOSKOWITZ,"(1134.6, 1084.9)"
BONNIE F VAN NESS,"(899.89, 1103.1)"
BORJA LARRAIN,"(1055.2, 965.37)"
